participant_name,label_pointsbet,label_draftkings,label_caesers,label_betmgm
St. Bonaventure,,St. Bonaventure,,St. Bonaventure
St. John's,,St. John's,,St. John's
St. Joseph's,St. Joseph's Hawks,St. Joseph's,St. Joseph's Hawks,St. Joseph's
St. Peter's,,St. Peter's,,St. Peter's
Stanford,Stanford Cardinal,Stanford,Stanford Cardinal,Stanford
Stephen F. Austin,SFA Lumberjacks,Stephen F. Austin,SFA Lumberjacks,Stephen F. Austin
Syracuse,,Syracuse,,Syracuse
Tarleton St,Tarleton State Texans,Tarleton St,Tarleton State Texans,Tarleton St
TCU,TCU Horned Frogs,TCU,TCU Horned Frogs,TCU
Temple,Temple Owls,Temple,Temple Owls,Temple
Tennessee,Tennessee Volunteers,Tennessee,Tennessee Volunteers,Tennessee
Texas,Texas Longhorns,Texas,Texas Longhorns,Texas
Texas A&M,Texas A&M Aggies,Texas A&M,Texas A&M Aggies,Texas A&M
Texas A&M Corpus Christi,Texas A&M-Corpus Christi Islanders,Texas A&M Corpus Christi,Texas A&M-Corpus Christi Islanders,Texas A&M Corpus Christi
,Texas Rio Grande Valley Vaqueros,,Texas Rio Grande Valley Vaqueros,
Texas San Antonio,UTSA Roadrunners,Texas San Antonio,UTSA Roadrunners,Texas San Antonio
Texas Southern,Texas Southern Tigers,Texas Southern,Texas Southern Tigers,Texas Southern
Texas Tech,Texas Tech Red Raiders,Texas Tech,Texas Tech Red Raiders,Texas Tech
Toledo,Toledo Rockets,Toledo,Toledo Rockets,Toledo
Tulane,Tulane Green Wave,Tulane,Tulane Green Wave,Tulane
Tulsa,Tulsa Golden Hurricane,Tulsa,Tulsa Golden Hurricane,Tulsa
UAB,UAB Blazers,UAB,UAB Blazers,UAB
UC Davis,UC Davis Aggies,UC Davis,UC Davis Aggies,UC Davis
,UC Irvine Anteaters,,UC Irvine Anteaters,
UC Santa Barbara,UC Santa Barbara Gauchos,UC Santa Barbara,UC Santa Barbara Gauchos,UC Santa Barbara
UCLA,UCLA Bruins,UCLA,UCLA Bruins,UCLA
